layer,overall_auroc,overall_accuracy_at_0,affirmative_auroc,negated_auroc,topic_cities_auroc,topic_sp_en_trans_auroc,topic_inventors_auroc,topic_element_symb_auroc,topic_animal_class_auroc,n_iter
0,0.5137212138181041,0.4971209213051823,0.5160347271438696,0.5087703756201276,0.5073777777777778,0.40345280540439105,0.630713296398892,0.47368421052631576,0.5458477508650519,161
1,0.5194535829148876,0.5201535508637236,0.5241554453106544,0.5065999291282779,0.5309888888888888,0.3865640833176956,0.6577216066481995,0.4508310249307479,0.527681660899654,80
2,0.517792080046861,0.4942418426103647,0.5251594613749114,0.5017127332860856,0.5175666666666667,0.3696753612310002,0.6613573407202216,0.4840720221606648,0.5865051903114187,158
3,0.7364436470540561,0.6727447216890595,0.7561569808646351,0.710607134420033,0.8323666666666667,0.49258772752861696,0.6923476454293629,0.5096952908587258,0.6583044982698962,229
4,0.7742124439565136,0.6976967370441459,0.7867942357665958,0.7603502244271203,0.8690666666666668,0.5398761493713642,0.6970221606648199,0.577562326869806,0.6911764705882353,584
5,0.8025500937588648,0.7130518234165067,0.8062101346562722,0.7977941176470589,0.8856777777777778,0.5993619816100582,0.7292243767313019,0.5900277008310248,0.6937716262975778,844
6,0.9262454824436988,0.8464491362763915,0.9217753366406803,0.9308557760453579,0.943011111111111,0.9808594483017451,0.7963988919667588,0.9667590027700831,0.7482698961937716,445
7,0.9531684601810337,0.8896353166986565,0.9536823765650839,0.9524125915426411,0.9693,0.9868643272659035,0.8393351800554016,0.989612188365651,0.8183391003460208,445
8,0.9595013280970819,0.8944337811900192,0.9568568391211907,0.9612715568154973,0.9725777777777778,0.9938074685682117,0.8493767313019391,0.9792243767313019,0.8408304498269896,446
9,0.9618591148721085,0.8857965451055663,0.9589829907866761,0.9630728797543114,0.9726,0.9981234753237004,0.8569944598337951,0.9792243767313019,0.8365051903114187,475
10,0.970221889839781,0.9030710172744721,0.9646231986770613,0.9741170564611387,0.9782444444444445,0.99962469506474,0.8756925207756233,0.9882271468144044,0.865916955017301,889
11,0.9768605332282154,0.9213051823416507,0.9753277817150957,0.9777344672808882,0.9845666666666667,0.9998123475323701,0.8983725761772853,0.9951523545706371,0.8711072664359862,964
12,0.9878058215229092,0.9481765834932822,0.9876417434443657,0.9867410819749586,0.9945666666666666,0.99981234753237,0.9371537396121883,0.997229916897507,0.9160899653979239,481
13,0.9865495632568404,0.935700575815739,0.984673990077959,0.986165249232223,0.9935,1.0,0.9193213296398892,0.9986149584487535,0.9282006920415224,472
14,0.9981395588728306,0.9875239923224568,0.9989516891093787,0.9973275454760218,0.9999777777777777,1.0,0.974376731301939,1.0,0.9809688581314879,253
15,0.9987990023614708,0.9865642994241842,0.99948322702575,0.9984053862508859,0.9999555555555556,1.0,0.9797437673130195,1.0,0.9887543252595155,501
16,0.9993995011807354,0.9904030710172744,0.9997342310418144,0.9993503425466572,0.9999111111111112,1.0,0.9882271468144044,0.9993074792243768,1.0,225
17,0.9993442405531957,0.991362763915547,0.9994241672572644,0.9993503425466572,0.9999333333333332,1.0,0.9863227146814405,1.0,1.0,457
18,0.999469497975619,0.9932821497120922,0.9997489959839357,0.9992912827781715,0.9999333333333332,1.0,0.9882271468144044,1.0,1.0,219
19,0.999484234142963,0.991362763915547,0.9996013465627215,0.9994241672572644,0.9999444444444445,1.0,0.9884002770083102,1.0,1.0,459
20,0.9995137064776507,0.9932821497120922,0.999512756909993,0.9996013465627215,0.9999444444444445,1.0,0.9875346260387812,1.0,1.0,256
21,0.9995358107286666,0.9904030710172744,0.9995127569099929,0.9996456413890857,0.9999333333333333,1.0,0.9873614958448753,1.0,1.0,213
22,0.9993810809715555,0.9884836852207294,0.9993208126624143,0.9994832270257501,0.9999333333333333,1.0,0.9852839335180055,1.0,1.0,242
23,0.9995137064776509,0.9884836852207294,0.9996899362154501,0.9993798724309001,0.9999333333333333,1.0,0.9880540166204985,1.0,1.0,638
24,0.9993958171388995,0.9865642994241842,0.9996308764469644,0.9992765178360501,0.9999333333333333,1.0,0.985803324099723,1.0,1.0,350
25,0.9993331884276878,0.9836852207293666,0.9993503425466572,0.9993503425466572,0.9999444444444444,1.0,0.9838988919667591,1.0,1.0,323
26,0.9993074001348359,0.9846449136276392,0.9993946373730216,0.9992322230096857,0.9999555555555555,1.0,0.9830332409972299,1.0,1.0,360
27,0.999288979925656,0.9846449136276392,0.9995275218521144,0.9991288684148358,0.9999444444444445,1.0,0.9821675900277008,1.0,1.0,354
28,0.9992447714236242,0.9836852207293666,0.9994536971415072,0.9990698086463502,0.9999444444444444,1.0,0.9832063711911357,1.0,1.0,414
29,0.9991268820848729,0.982725527831094,0.9994832270257501,0.9987597448618001,0.9999333333333333,1.0,0.9821675900277007,0.9993074792243768,0.9991349480968859,446
30,0.9991489863358888,0.9846449136276392,0.9994094023151429,0.998892629340893,0.9999444444444444,1.0,0.9802631578947368,1.0,0.9991349480968859,488
31,0.9990495172063174,0.980806142034549,0.9992912827781715,0.9988630994566501,0.9999555555555555,1.0,0.9800900277008311,1.0,0.9974048442906575,536
32,0.9988247906543226,0.9817658349328215,0.9989664540515001,0.9985973304984644,0.9999444444444444,1.0,0.97351108033241,1.0,0.9982698961937716,514
33,0.9988174225706508,0.9836852207293666,0.9986711552090716,0.9987745098039215,0.9999444444444444,1.0,0.9747229916897506,1.0,0.9982698961937716,564
34,0.9984379662615449,0.9817658349328215,0.997962437987243,0.9985382707299787,0.9999555555555555,1.0,0.9691828254847645,1.0,0.9982698961937716,700
35,0.9981690312075184,0.9856046065259118,0.9970027167493503,0.9990402787621073,0.9999666666666667,1.0,0.9721260387811634,1.0,0.9982698961937716,983
