replicate,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_total_range,and_pooled_sd,and_range_over_sd,dprime_AND_TT_mixed,dprime_AND_mixed_FF,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_total_range,or_pooled_sd,or_range_over_sd,dprime_OR_TT_mixed,dprime_OR_mixed_FF,and_minus_or_auroc,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
30,0.9372999999999999,0.918175,0.6747000000000001,10.839767463533416,4.330802701564799,2.502946499875602,1.9514368428749,0.6284435159505881,0.6845583333333334,0.8496625,0.5835250000000001,6.41662941031726,4.088234688803108,1.5695354838339344,1.4402053379120545,0.32658171977731315,0.25274166666666653,0.591952680895024,0.40804731910497605,0.943990056930082,0.627075122825015
31,0.9437833333333334,0.9270124999999999,0.6758875,10.837613601040093,4.250039338961125,2.55000312625088,2.026730049625272,0.6179180809904351,0.6754,0.83045,0.572075,6.1545732693894255,4.174839417395925,1.4742059883175982,1.3281024598429152,0.29940221992007726,0.2683833333333334,0.5678900813366115,0.43210991866338855,0.9823060645872559,0.5781192866555567
32,0.9469583333333333,0.9270875000000001,0.6806124999999998,10.928506474667959,4.183702927487078,2.6121612036235367,2.064524552045383,0.6525729203317859,0.6856583333333333,0.8446,0.591275,6.703027658972899,4.213636315386877,1.590794068889037,1.4363409920336827,0.3424476891212606,0.2613000000000001,0.6133525815728226,0.3866474184271774,1.0071547594125614,0.6089953662439822
33,0.9521583333333334,0.93475,0.6777875,10.637472412264147,3.951073531504184,2.692299277005466,2.141484230598027,0.6315402645116998,0.6626166666666666,0.8274750000000001,0.565175,5.838731120880836,4.124188643975402,1.4157284316783207,1.323009909274747,0.2640829181913809,0.2895416666666668,0.5488833150015271,0.4511166849984729,1.0438147027866913,0.5258436325299531
34,0.9351666666666667,0.9139125,0.694625,10.61970482872868,4.188988098248362,2.535148007025693,1.9014851488751727,0.7086780882065652,0.6611750000000001,0.8033375,0.5688625,5.642976487291246,4.145574794796189,1.3612048429025327,1.2140473998735757,0.28770848549762773,0.27399166666666663,0.5313684870059411,0.4686315129940589,0.9896363268565203,0.5369330860092609
35,0.9517833333333333,0.9338875,0.690325,10.840221559617984,3.940524763985628,2.750958871948234,2.1340235902874265,0.688947751804895,0.6939083333333333,0.8350625,0.5953625,6.371423265713102,4.050585781265434,1.5729634205457121,1.3571052993888901,0.36295771241896924,0.25787499999999997,0.5877576607334246,0.4122423392665754,1.0279305483081103,0.5717873271699394
36,0.943125,0.9229,0.6883125,10.887751432559337,4.157305488861275,2.6189442805516787,1.990018395349823,0.6709063770119486,0.644225,0.8095749999999999,0.551675,5.30238781913283,4.053698036203721,1.3080371975852707,1.2222481392591187,0.2535865582239962,0.29889999999999994,0.4870048560510185,0.5129951439489815,0.9750782200309428,0.4994520911723
37,0.9516166666666667,0.9319875,0.6894875,10.277455968172383,3.837030638299454,2.6784920259920786,2.0472568542306604,0.6859819358381584,0.6919500000000001,0.8340000000000001,0.5990125,6.421961814570651,4.163194575561757,1.5425562504976384,1.330237959321754,0.3695309061231001,0.2596666666666666,0.6248590929952341,0.3751409070047659,1.0850042566787679,0.5759047387592262
38,0.9461666666666667,0.93065,0.6721999999999999,10.795463051247571,4.180161491182702,2.5825468882048357,2.0772293915433577,0.6131682126363531,0.6716083333333335,0.837025,0.5726499999999999,6.128547531863276,4.12234774415869,1.4866643748207182,1.381665406268701,0.29572308342995013,0.27455833333333324,0.5676965872394917,0.4323034127605083,0.986169494373373,0.57565823165136
39,0.93445,0.9127375000000001,0.6700125,10.461201286621375,4.329056715312301,2.4165082544700955,1.9014689645654126,0.6118920393883406,0.6937,0.8366125,0.5951375,6.434303158214776,4.117611885945439,1.5626298292407919,1.3399774095535206,0.36606052398368716,0.24075000000000002,0.6150635077104845,0.38493649228951554,0.9511568354789713,0.6466478342667418
40,0.9373416666666666,0.9158875,0.6790125,10.767285616289147,4.26004762883513,2.5275035761122138,1.9500571967322349,0.654636592120335,0.6856166666666667,0.8296625,0.583725,5.9362268724321074,3.916595177586829,1.5156600575936099,1.2905836879323476,0.3473292214260348,0.251725,0.5513206470023944,0.44867935299760564,0.919378260251467,0.5996668301158198
41,0.9561333333333333,0.9389,0.6913749999999999,10.7877402558113,3.894619598080814,2.7699085839159414,2.1427474068166044,0.6969949174656339,0.7024083333333335,0.859475,0.5968249999999999,6.4355487689124145,3.8273795004373956,1.6814503939776433,1.4575572149724503,0.3790598035235309,0.25372499999999976,0.5965613387331622,0.4034386612668378,0.9827351308773384,0.6070418365939366
42,0.9414333333333333,0.9212625,0.6792874999999999,11.290561871860483,4.446339792946603,2.539293530775837,1.9512506594711003,0.6493431216129532,0.6771833333333334,0.8390500000000001,0.587225,6.454188981890601,4.207136974701932,1.5341047892427768,1.4037568854898494,0.32450939764783193,0.26425,0.5716446227513623,0.4283553772486377,0.9462023081042688,0.6041462992165612
43,0.9473,0.930825,0.6742874999999999,10.703056731310003,4.106382005534718,2.6064444849222665,2.0761632224132525,0.6449199717201921,0.7054333333333334,0.8651374999999999,0.6029625,7.030393045330619,3.9852592822874273,1.76409928372223,1.5601135432090014,0.3956490511744616,0.24186666666666667,0.6568584304299144,0.34314156957008557,0.9705037857939086,0.6768221206809405
44,0.945725,0.9276625000000001,0.68325,11.08758182979196,4.231859150497148,2.620026195458187,2.0344685838008534,0.6660719478475987,0.7019,0.8409749999999999,0.604675,6.711528620654935,4.052116851382633,1.656301845877144,1.4141154130288418,0.3941575155630059,0.24382500000000007,0.6053194216453297,0.3946805783546703,0.9575263985113022,0.6321699564486575
45,0.9520166666666667,0.9347375,0.6655625000000001,10.87212787430319,4.152943217104063,2.617933187606779,2.1425100544724023,0.6047724432276064,0.696275,0.8437625,0.5964625,6.8581492915529205,4.1821834755311516,1.6398489764206035,1.4767928375874133,0.34875341618995914,0.25574166666666676,0.6308010143775529,0.36919898562244713,1.0070408519689509,0.6263906902527543
46,0.9331583333333333,0.9129499999999999,0.678225,10.560812070728955,4.318852144156451,2.445282153272619,1.8858597193017925,0.6309753473279396,0.668575,0.8163875,0.5748375,5.84951647019776,4.087176229041349,1.4311877302070162,1.2686909991294963,0.3118697808645322,0.2645833333333333,0.5538888895116946,0.44611111048830543,0.9463570626217045,0.5852853129000267
47,0.9477249999999999,0.9297875,0.6833125,10.654164533683295,4.014685640306436,2.6537979528753524,2.0875002946407193,0.6719121481200478,0.675875,0.8271999999999999,0.5751,5.994042293299962,4.023603246213235,1.4897200162419546,1.3211262787298044,0.3218704354128043,0.2718499999999999,0.562600875399447,0.43739912460055297,1.0022212463703928,0.5613539699312317
48,0.9410083333333334,0.9220999999999999,0.6893624999999999,10.918788955193039,4.238815834315681,2.575905484451362,1.9935227034107985,0.6601106601623524,0.6856083333333334,0.8418749999999999,0.586975,6.438708575065969,4.081590682568803,1.5774998219600216,1.413626996487901,0.339943745138451,0.25540000000000007,0.589690724995988,0.41030927500401204,0.9629082371368792,0.6124059409330428
49,0.9424166666666667,0.925225,0.6742875,11.378092670728929,4.38243456271876,2.596294937869015,2.058226190258157,0.6408094562796284,0.6818916666666667,0.8432875000000001,0.5804375,6.519440547724124,4.145595242445817,1.5726186871726016,1.431845655826471,0.32396033457506257,0.260525,0.5729818464649982,0.42701815353500183,0.9459571348109272,0.6057165017096918
