metric,observed,bootstrap_mean,bootstrap_median,bootstrap_sd,ci_2_5,ci_97_5
and_truth_auroc,0.9458666666666667,0.9460778083333332,0.9463916666666666,0.008956508851407073,0.927333125,0.9619260416666667
and_TT_vs_mixed_auroc,0.9275375,0.9278104625000001,0.9280875000000001,0.011090418161856935,0.9056065624999999,0.947725
and_mixed_vs_FF_auroc,0.6816,0.6828913937500001,0.6827937500000001,0.014514976931414523,0.654996875,0.7113303125000001
and_total_range,10.83899120866123,10.845470602526046,10.845382239587963,0.334075965935543,10.186927965127202,11.500885390278745
and_pooled_sd,4.1581938511682335,4.1417734380390705,4.143983076272139,0.1737445099475167,3.800921634765226,4.474419983832722
and_range_over_sd,2.606658466780245,2.6234549344552156,2.6210710783666915,0.14186838663861553,2.352947994213726,2.9129004449984017
dprime_AND_TT_mixed,2.031741492684274,2.0431626975617543,2.0388869236012814,0.10853103470985666,1.8384638020731852,2.256632409328277
dprime_AND_mixed_FF,0.6497891435873585,0.6546606220237554,0.6540965307570703,0.05291403583863514,0.5532615436708682,0.7572972409328081
or_truth_auroc,0.6790833333333334,0.6791509708333333,0.6792458333333333,0.0146393494512049,0.6499872916666667,0.7065227083333332
or_TT_vs_mixed_auroc,0.8336,0.83400126875,0.8342750000000001,0.016249837438087823,0.8013868749999999,0.865414375
or_mixed_vs_FF_auroc,0.580275,0.58041024375,0.5807,0.014682234314246591,0.551023125,0.6086753125000001
or_total_range,6.170111728859229,6.158752704117028,6.154646052239013,0.4188936335184893,5.338409918995058,6.963057393890114
or_pooled_sd,4.086784295085022,4.067848321906699,4.07094303538895,0.1365239945101629,3.792517474405661,4.325272085175431
or_range_over_sd,1.5097718116123047,1.514762963745446,1.5130979037902093,0.10179678393562597,1.3267436148932605,1.7185373674246853
dprime_OR_TT_mixed,1.356178307914295,1.3626315823579611,1.3611844716867425,0.08683448623794222,1.1991379799894764,1.5370148461106776
dprime_OR_mixed_FF,0.3183527582537724,0.3181011405783311,0.3171721483367894,0.043268984457979144,0.2339070191246915,0.4033809580762875
and_minus_or_auroc,0.2667833333333334,0.26692683749999996,0.2668041666666667,0.017385321044218728,0.23315812500000002,0.30040875000000017
OR_to_AND_range_ratio,0.5692514746140592,0.5682801975439952,0.568493767627836,0.04073571543861094,0.4909845160250874,0.6475264537369476
OR_range_compression,0.4307485253859408,0.4317198024560048,0.431506232372164,0.04073571543861094,0.35247354626305233,0.5090154839749126
OR_to_AND_pooled_sd_ratio,0.9828267852247559,0.9831228844935572,0.9820114767993393,0.036067616278244695,0.9131519576091562,1.0542337523496759
OR_to_AND_range_over_sd_ratio,0.579198169170655,0.5789328627264904,0.5783805035329777,0.04815079888431098,0.49117660837794175,0.6757239343851453
