probe,probe_label,connective,N,auroc,accuracy,balanced_accuracy,average_precision,mean_score_true,mean_score_false
atomic_union_to_compounds,Atomic union → compounds,and,800,0.9458666666666667,0.54875,0.6991666666666667,0.8340258234188656,9.905469324266564,0.9577215119224877
atomic_union_to_compounds,Atomic union → compounds,or,800,0.6790833333333334,0.66125,0.6058333333333333,0.8525963695744289,1.8567773426385554,-1.181758316262888
compound_trained_to_compounds,Compound-trained → compounds,and,800,0.99875,0.9825,0.975,0.9963798697128645,7.6760737717984675,-15.828694905000788
compound_trained_to_compounds,Compound-trained → compounds,or,800,0.9913583333333333,0.9625,0.9433333333333334,0.9968824042615098,12.72752632926488,-6.503772762436573
